user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Unknown_BY606-001R0015_bin.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	GCF_000157915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	98.78	0.943	GCF_000157915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	98.78	0.943	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	77.18	11	N/A	N/A
Unknown_BY606-001R0015_bin.33	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900541915	GCA_900541915.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900541915	96.8	0.913	GCA_900541915.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__URXU01 sp900541915	96.8	0.913	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__URXU01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900545025.1, s__URXU01 sp900545025, 95.0, 90.62, 0.748; GCA_949285135.1, s__URXU01 sp949285135, 95.0, 85.72, 0.519; GCA_947629685.1, s__URXU01 sp947629685, 95.0, 85.66, 0.547; GCA_900552005.1, s__URXU01 sp900552005, 95.0, 82.39, 0.29; GCA_958448515.1, s__URXU01 sp958448515, 95.0, 81.26, 0.15	74.76	11	N/A	N/A
Unknown_BY606-001R0015_bin.34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.12	11	0.958	N/A
Unknown_BY606-001R0015_bin.38	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__UMGS2016 sp945872435	GCA_945872435.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__UMGS2016 sp945872435	98.98	0.933	GCA_945872435.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__UMGS2016 sp945872435	98.98	0.933	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_949288035.1, s__UMGS2016 sp949288035, 95.0, 82.89, 0.32; GCA_905203475.1, s__UMGS2016 sp905203475, 95.0, 82.89, 0.299; GCA_944355255.1, s__UMGS2016 sp944355255, 95.0, 82.6, 0.33; GCA_900557185.1, s__UMGS2016 sp900557185, 95.0, 82.56, 0.281; GCA_944332735.1, s__UMGS2016 sp944332735, 95.0, 82.14, 0.225	79.42	11	N/A	N/A
Unknown_BY606-001R0015_bin.43	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	N/A	N/A	N/A	N/A	N/A	GCA_944385175.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp944385175	85.82	0.345	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_944385705.1, s__Limivicinus sp944385705, 95.0, 84.54, 0.313; GCA_949294945.1, s__Limivicinus sp949294945, 95.0, 84.37, 0.3; GCA_900754515.1, s__Limivicinus sp900754515, 95.0, 84.28, 0.29; GCA_018711755.1, s__Limivicinus faecipullorum, 95.0, 84.25, 0.331; GCA_944385125.1, s__Limivicinus sp944385125, 95.0, 84.12, 0.324; GCA_944387735.1, s__Limivicinus sp944387735, 95.0, 82.94, 0.265	78.97	11	0.98922	N/A
Unknown_BY606-001R0015_bin.44	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	GCF_010669225.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	98.41	0.916	GCF_010669225.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	98.41	0.916	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900556715.1, s__Megamonas sp900556715, 95.0, 92.85, 0.717; GCF_900187035.1, s__Megamonas hypermegale, 95.0, 82.34, 0.184	88.86	11	N/A	N/A
Unknown_BY606-001R0015_bin.50	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.59	0.959	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.59	0.959	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.66, 0.62; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 88.45, 0.553; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 88.25, 0.526; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 86.95, 0.417; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 86.88, 0.449; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.65, 0.377; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 86.1, 0.375; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.33, 0.296; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 84.52, 0.283; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.4, 0.201; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.35, 0.151	60.58	11	N/A	N/A
Unknown_BY606-001R0015_bin.53	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.74	0.94	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.74	0.94	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019402445.1, s__Brachyspira pilosicoli_B, 95.0, 94.73, 0.84; GCF_008016535.1, s__Brachyspira pilosicoli_A, 95.0, 91.58, 0.708; GCF_934747485.1, s__Brachyspira sp934747485, 95.0, 91.36, 0.76; GCF_009755885.1, s__Brachyspira sp009755885, 95.0, 91.07, 0.813; GCA_934725655.1, s__Brachyspira sp934725655, 95.0, 90.38, 0.566; GCF_000223215.1, s__Brachyspira intermedia, 95.0, 81.93, 0.152	93.23	11	N/A	N/A
Unknown_BY606-001R0015_bin.54	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp944385025	GCA_944385025.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp944385025	98.87	0.94	GCA_944385025.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp944385025	98.87	0.94	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	97.2	11	N/A	N/A
Unknown_BY606-001R0015_bin.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAAGNP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAAGNP01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	77.32	11	0.88439	N/A
Unknown_BY606-001R0015_bin.9	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	N/A	N/A	N/A	N/A	N/A	GCA_019118745.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio gallistercoris	94.15	0.786	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_944324525.1, s__Desulfovibrio sp944324525, 95.0, 90.71, 0.646; GCF_944327235.1, s__Desulfovibrio sp944327235, 95.0, 90.11, 0.623; GCF_944324935.1, s__Desulfovibrio sp944324935, 95.0, 89.3, 0.594; GCA_944327045.1, s__Desulfovibrio sp944327045, 95.0, 88.38, 0.532; GCA_019118345.1, s__Desulfovibrio intestinavium, 95.0, 84.9, 0.353; GCF_944324505.1, s__Desulfovibrio sp944324505, 95.0, 81.78, 0.159	83.71	11	0.99551	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0016_bin.12	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.59	0.97	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	98.59	0.97	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.93, 0.629; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 89.26, 0.567; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 88.84, 0.539; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 87.43, 0.401; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 87.31, 0.435; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.9, 0.39; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 86.38, 0.356; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.4, 0.276; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 84.59, 0.285; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.5, 0.198	66.16	11	N/A	N/A
Unknown_BY606-001R0016_bin.15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900544305	GCA_900544305.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900544305	96.53	0.804	GCA_900544305.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900544305	96.53	0.804	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900548875.1, s__Limisoma sp900548875, 95.0, 89.24, 0.625	74.78	11	N/A	N/A
Unknown_BY606-001R0016_bin.16	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.05	11	0.94334	N/A
Unknown_BY606-001R0016_bin.22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	GCA_019115075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	97.14	0.853	GCA_019115075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	97.14	0.853	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119615.1, s__Alistipes stercoravium, 95.0, 85.0, 0.376; GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 84.48, 0.329; GCF_022782405.1, s__Alistipes sp022782405, 95.0, 83.52, 0.333; GCF_949296715.1, s__Alistipes sp949296715, 95.0, 83.47, 0.287; GCF_006542685.1, s__Alistipes dispar, 95.0, 83.43, 0.293; GCA_019119845.1, s__Alistipes merdavium, 95.0, 82.91, 0.255; GCA_944321945.1, s__Alistipes sp944321945, 95.0, 82.55, 0.202; GCF_900604385.1, s__Alistipes megaguti, 95.0, 82.26, 0.222; GCA_019118605.1, s__Alistipes faecavium, 95.0, 82.21, 0.24; GCA_944320625.1, s__Alistipes sp944320625, 95.0, 82.2, 0.163; GCA_019115245.1, s__Alistipes cottocaccae, 95.0, 82.11, 0.196; GCA_938014215.1, s__Alistipes sp938014215, 95.0, 82.07, 0.235; GCA_944321185.1, s__Alistipes sp944321185, 95.0, 81.81, 0.208; GCF_025145845.1, s__Alistipes shahii, 95.0, 81.76, 0.175; GCA_019112825.1, s__Alistipes excrementigallinarum, 95.0, 81.63, 0.183; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 81.6, 0.183; GCF_900083545.1, s__Alistipes provencensis, 95.0, 81.59, 0.176; GCA_944321765.1, s__Alistipes sp944321765, 95.0, 81.55, 0.216; GCA_944321965.1, s__Alistipes sp944321965, 95.0, 81.55, 0.172; GCA_947364365.1, s__Alistipes sp947364365, 95.0, 81.46, 0.178; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 81.39, 0.175; GCA_019113885.1, s__Alistipes intestinipullorum, 95.0, 81.37, 0.16; GCF_900107675.1, s__Alistipes timonensis, 95.0, 81.29, 0.169; GCF_020026455.1, s__Alistipes sp020026455, 95.0, 81.24, 0.159; GCA_019119475.1, s__Alistipes stercorigallinarum, 95.0, 81.21, 0.172; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 81.18, 0.178; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 80.93, 0.151; GCF_900541585.1, s__Alistipes sp900541585, 95.0, 80.9, 0.174; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.85, 0.187; GCA_910576555.1, s__Alistipes sp910576555, 95.0, 80.82, 0.162; GCF_025145285.1, s__Alistipes onderdonkii, 95.0, 80.48, 0.172	94.26	11	N/A	N/A
Unknown_BY606-001R0016_bin.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas sp902477765	GCA_902477765.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas sp902477765	99.3	0.909	GCA_902477765.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas sp902477765	99.3	0.909	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.26	11	N/A	N/A
Unknown_BY606-001R0016_bin.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii	GCF_025144665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii	98.36	0.965	GCF_025144665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii	98.36	0.965	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902491835.1, s__Alistipes_A sp902491835, 95.0, 94.45, 0.85	79.68	11	N/A	N/A
Unknown_BY606-001R0016_bin.29	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp905215675	GCA_905215675.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp905215675	98.9	0.823	GCA_905215675.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp905215675	98.9	0.823	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019114565.1, s__Desulfovibrio intestinigallinarum, 95.0, 87.15, 0.388; GCA_030372365.1, s__Desulfovibrio sp944327285, 95.0, 86.99, 0.378; GCA_945871415.1, s__Desulfovibrio sp945871415, 95.0, 86.74, 0.322; GCA_944324555.1, s__Desulfovibrio sp944324555, 95.0, 86.05, 0.301; GCA_934546745.1, s__Desulfovibrio sp934546745, 95.0, 84.81, 0.242	69.1	11	N/A	N/A
Unknown_BY606-001R0016_bin.35	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	GCA_019116645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	99.55	0.916	GCA_019116645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	99.55	0.916	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900475675.1, s__Streptococcus lutetiensis, 95.0, 83.46, 0.154; GCA_000283635.1, s__Streptococcus macedonicus, 95.18, 83.32, 0.159; GCF_002000985.1, s__Streptococcus gallolyticus, 96.3, 83.17, 0.171; GCF_004843545.1, s__Streptococcus pasteurianus, 95.21, 83.14, 0.162; GCF_011387195.1, s__Streptococcus ruminicola, 95.0, 83.11, 0.157; GCF_900101445.1, s__Streptococcus equinus_B, 95.0, 82.58, 0.151; GCF_003337175.1, s__Streptococcus gallolyticus_B, 95.0, 82.19, 0.152	80.48	11	N/A	N/A
Unknown_BY606-001R0016_bin.4	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	N/A	N/A	N/A	N/A	N/A	GCA_944324495.1	95.0	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp944324495	86.43	0.591	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945929285.1, s__Mucispirillum sp945929285, 95.0, 85.11, 0.334; GCA_949287985.1, s__Mucispirillum schaedleri_A, 95.0, 84.28, 0.461; GCA_944325215.1, s__Mucispirillum sp944325215, 95.0, 83.96, 0.43; GCA_944326705.1, s__Mucispirillum sp944326705, 95.0, 80.11, 0.177; GCA_944324465.1, s__Mucispirillum sp944324465, 95.0, 79.58, 0.169; GCA_944323205.1, s__Mucispirillum sp944323205, 95.0, 79.57, 0.154	90.15	11	0.98456	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0016_bin.45	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecalis	GCF_022809355.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecalis	97.34	0.865	GCF_022809355.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecalis	97.34	0.865	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023744375.1, s__Parabacteroides sp900548175, 95.0, 87.97, 0.51	60.6	11	N/A	N/A
Unknown_BY606-001R0016_bin.47	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp900547275	GCA_900547275.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp900547275	97.32	0.902	GCA_900547275.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp900547275	97.32	0.902	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.77	11	N/A	N/A
Unknown_BY606-001R0016_bin.51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides intestinipullorum	GCA_019114965.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides intestinipullorum	96.04	0.817	GCA_019114965.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides intestinipullorum	96.04	0.817	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.46	11	N/A	N/A
Unknown_BY606-001R0016_bin.57	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.72	0.941	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.72	0.941	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019402445.1, s__Brachyspira pilosicoli_B, 95.0, 94.7, 0.841; GCF_008016535.1, s__Brachyspira pilosicoli_A, 95.0, 91.56, 0.698; GCF_934747485.1, s__Brachyspira sp934747485, 95.0, 91.42, 0.747; GCF_009755885.1, s__Brachyspira sp009755885, 95.0, 91.05, 0.799; GCA_934725655.1, s__Brachyspira sp934725655, 95.0, 90.36, 0.559; GCF_000223215.1, s__Brachyspira intermedia, 95.0, 82.27, 0.151	91.42	11	N/A	N/A
Unknown_BY606-001R0016_bin.60	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Enterenecus;s__Enterenecus faecium	GCA_018713215.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Enterenecus;s__Enterenecus faecium	95.21	0.795	GCA_018713215.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Enterenecus;s__Enterenecus faecium	95.21	0.795	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Enterenecus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902461475.1, s__Enterenecus sp902461475, 95.0, 95.05, 0.761; GCA_944385445.1, s__Enterenecus sp944385445, 95.0, 92.9, 0.743; GCA_018715985.1, s__Enterenecus avicola, 95.0, 87.93, 0.512; GCA_944385485.1, s__Enterenecus sp944385485, 95.0, 87.8, 0.532; GCF_002161235.1, s__Enterenecus sp002161235, 95.0, 87.25, 0.495; GCF_016902575.1, s__Enterenecus capillosus_A, 95.0, 86.58, 0.437; GCA_944387075.1, s__Enterenecus sp944387075, 95.0, 85.07, 0.378	72.31	11	N/A	N/A
